id,price, diagonal, cpu, rom, ram, camera, battery, ppi
HTC Desire 626G DS  Navy Blue                               ,   7990.00,     5.0,    1.70,     8.0,    1024,      13,    2000,     293
Digma Vox S502 3G  White                                    ,   5390.00,     5.5,    1.30,     8.0,    1024,       8,    2700,     267
Apple iPhone 7 Plus 256GB  Gold                             ,  64991.60,     5.5,    2.37,   256.0,    3072,      12,    2900,     400
Samsung SM-G532F Galaxy J2 Prime DS  Black                  ,   8990.00,     5.0,    1.45,     8.0,    1536,       8,    2600,     220
Moto Z Play  White Gold                                     ,  29990.00,     5.5,    2.00,    32.0,    3072,      16,    3510,     400
HTC 10  Carbon Gray                                         ,  32990.00,     5.2,    2.20,    32.0,    4096,      12,    3000,     564
Samsung SM-A720F Galaxy A7 (2017)  Black                    ,  29990.00,     5.7,    1.90,    32.0,    3072,      16,    3600,     386
Doogee Shoot 1  Gold                                        ,   8990.00,     5.5,    1.45,    16.0,    2048,      13,    3300,     400
Samsung Galaxy S8 SM-G950  Black                            ,  49991.40,     5.8,    2.30,    64.0,    4096,      12,    3000,     567
BQ 4526 Fox  Titanium Gray                                  ,   3790.00,     4.5,    1.20,     8.0,    1024,       5,    1500,     217
Caterpillar Cat S30  Black                                  ,  14890.00,     4.5,    1.10,     8.0,    1024,       5,    3000,     217
Lenovo Vibe S1 (S1a40)  Gold                                ,  11490.00,     5.0,    1.70,    32.0,    3072,      13,    2420,     440
ZTE Blade V7 Lite  Silver                                   ,   9990.00,     5.0,    1.00,    16.0,    2048,      13,    2500,     293
Meizu M3 Note 32GB  Silver White                            ,  13990.00,     5.5,    1.80,    32.0,    3072,      13,    4100,     400
HTC Desire 628 DS  Cobalt White                             ,   9990.00,     5.0,    1.30,    32.0,    3072,      13,    2200,     293
